,Bacteroidales,Oscillospirales,RF32,Verrucomicrobiales,Actinomycetales,Lactobacillales,Enterobacterales,Veillonellales,Brachyspirales,Haloplasmatales,Lachnospirales,Clostridiales,Erysipelotrichales,Acidaminococcales
MB-5883,0.1678880042660946,0.1763330972730092,0.0,0.0,0.5059909978625059,0.0,0.0,0.0,0.0,0.0,0.0,0.1497879005983901,0.0,0.0
MB-1098,0.2815138417928147,0.103848599477956,0.1915267753351535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1982163363612345,0.2248944470328413,0.0,0.0
MB-9403,0.3186354262289909,0.227594294085022,0.0,0.2593484390568732,0.0,0.1944218406291136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-2211,0.0,0.1304304481361374,0.06763996037514,0.0,0.2711953599183822,0.0,0.2177063121455163,0.3130279194248239,0.0,0.0,0.0,0.0,0.0,0.0
MB-6671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5164571129226446,0.0,0.0348489067932865,0.0,0.0,0.0,0.4486939802840689
MB-6868,0.1957020322632395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3243560620133704,0.0,0.4799419057233899,0.0,0.0,0.0
MB-8396,0.4759137821312408,0.3174516224431272,0.0,0.0,0.0,0.0691230320461989,0.0,0.0,0.0,0.0,0.1375115633794328,0.0,0.0,0.0
MB-3073,0.4140226995459285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5859773004540716,0.0,0.0,0.0,0.0
MB-2966,0.0,0.5189085167416416,0.0,0.0,0.4810914832583582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-5143,0.4322992059048136,0.039781690394135,0.0,0.0,0.0,0.0,0.0,0.0,0.4685669903504023,0.0,0.0,0.059352113350649,0.0,0.0
MB-3109,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-7031,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-7558,0.0805418043198562,0.0,0.0,0.2554010354993666,0.3093655830351144,0.3546915771456626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-6338,0.0,0.0,0.0,0.0,0.0,0.0,0.2983200503473093,0.3527167217595978,0.0,0.0,0.0,0.348963227893093,0.0,0.0
MB-9155,0.3974806117171915,0.3694005502562449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1458651389099409,0.0872536991166228,0.0
