,Bacteroidota,Bacillota_A,Pseudomonadota,Verrucomicrobiota,Actinomycetota,Bacillota,Bacillota_C,Spirochaetota
MB-5723,0.6748233772201208,0.0,0.0,0.0,0.1296792384161778,0.16346943345917161,0.0320279509045295,0.0
MB-2553,0.6087671846970208,0.3912328153029791,0.0,0.0,0.0,0.0,0.0,0.0
MB-6356,0.1852758107826397,0.2662997044689213,0.0,0.0,0.1242541454045294,0.2057152548159169,0.0,0.2184550845279924
MB-8934,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-9669,0.2044828311196252,0.0,0.0,0.0,0.0,0.7955171688803748,0.0,0.0
MB-7022,0.3054543586813082,0.3065464216143951,0.0,0.2142542148381938,0.1737450048661027,0.0,0.0,0.0
MB-2994,0.4435915109714643,0.2555708210717927,0.0,0.0,0.0,0.3008376679567429,0.0,0.0
MB-7364,0.2608715940182793,0.5283055210735761,0.1664797043751333,0.0,0.0,0.0,0.044343180533011,0.0
MB-8906,0.0346000629328863,0.331306339147389,0.0,0.0,0.0,0.6340935979197246,0.0,0.0
MB-5070,0.4623510621326093,0.3312748764733264,0.0,0.0,0.0,0.2063740613940643,0.0,0.0
MB-9204,0.5651405639281288,0.0,0.0,0.0,0.0,0.0,0.1707833725173919,0.2640760635544792
MB-6021,0.0,0.2942266907362512,0.0,0.0,0.3166247596670815,0.0039604955209823,0.3851880540756849,0.0
MB-7403,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-7303,0.0469930398508131,0.5898543021429486,0.0721915665776884,0.0,0.0,0.1407073385170935,0.150253752911456,0.0
MB-1073,0.0473636213222146,0.2890281094549436,0.0,0.0,0.2844899894951296,0.3791182797277119,0.0,0.0
MB-2770,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-9157,0.5767803984687001,0.0,0.2872130268163254,0.0,0.0,0.1360065747149745,0.0,0.0
MB-1300,0.2571949010676486,0.2972639268585081,0.0,0.0,0.0,0.4455411720738432,0.0,0.0
MB-7430,0.0,0.0,0.0,0.0,0.0691944840206225,0.0,0.4633399370198784,0.467465578959499
MB-4304,0.0,0.0,0.0,0.0,0.3365920990317729,0.6634079009682272,0.0,0.0
MB-1086,0.3584724567120344,0.3685042941634308,0.2730232491245347,0.0,0.0,0.0,0.0,0.0
MB-2021,0.1780379426264481,0.41012610484379297,0.0,0.0,0.1093884814596802,0.3024474710700784,0.0,0.0
MB-6194,0.3826450450818759,0.2391366852150412,0.0,0.0,0.3782182697030828,0.0,0.0,0.0
MB-4084,0.0,0.0,0.0,0.0,0.5690319508990844,0.0,0.4309680491009154,0.0
MB-9244,0.0,0.8662890762999365,0.0,0.0,0.0,0.1200596109839503,0.013651312716113,0.0
MB-8279,0.6633477511133394,0.0768776126161063,0.0,0.0,0.2597746362705543,0.0,0.0,0.0
MB-7442,0.1219654278384308,0.5285322108555547,0.0,0.0,0.0,0.3495023613060144,0.0,0.0
MB-8019,0.0219457154443238,0.6132836782170673,0.0,0.0,0.2504682055629744,0.1143024007756343,0.0,0.0
MB-1146,0.0,0.0736359984413329,0.3456694860753208,0.3058234915164201,0.270376979399952,0.0044940445669741,0.0,0.0
MB-2428,0.3021266894036855,0.0,0.1973099917901181,0.0,0.1574473085129097,0.2089537788288259,0.1341622314644604,0.0
MB-1137,0.5115428136315925,0.3296794747934167,0.0,0.0,0.0,0.1190606732685371,0.0397170383064532,0.0
MB-9250,0.0,0.2728098487974317,0.0,0.0,0.7271901512025682,0.0,0.0,0.0
MB-3908,0.0,0.0,0.0,0.0,0.4026779064665819,0.597322093533418,0.0,0.0
MB-2826,0.5960537193346427,0.1033313129543377,0.0,0.0,0.0,0.192020829495604,0.0,0.1085941382154153
MB-6409,0.3199907761891807,0.644775509297428,0.0352337145133909,0.0,0.0,0.0,0.0,0.0
MB-6025,0.7251938705795506,0.020593386601373,0.0,0.0,0.2542127428190762,0.0,0.0,0.0
MB-5139,0.7414229062383128,0.0,0.2585770937616873,0.0,0.0,0.0,0.0,0.0
MB-1248,0.1815156505981351,0.271392012845797,0.0,0.0,0.0,0.5300844774983061,0.0170078590577615,0.0
MB-3181,0.3836283224313901,0.2255886247055748,0.0,0.0,0.0,0.247818726917523,0.0352504873528403,0.1077138385926716
MB-8956,0.7038263710177852,0.2961736289822146,0.0,0.0,0.0,0.0,0.0,0.0
MB-5689,0.41444206114132676,0.3451287943948761,0.2156092817239046,0.0,0.0248198627398922,0.0,0.0,0.0
MB-7455,0.45815356111085564,0.3844481225888392,0.0,0.0,0.0,0.0,0.157398316300305,0.0
MB-2893,0.1995219845456934,0.0,0.0,0.0,0.0,0.578234625005321,0.2222433904489856,0.0
MB-5562,0.0,0.7584713960633821,0.0,0.0773819141592378,0.0,0.0,0.16414668977738,0.0
MB-4678,0.0,0.2292312662541163,0.0,0.0,0.135274021832235,0.4324347882350967,0.2030599236785515,0.0
MB-7963,0.4192936140491385,0.23975511587942408,0.0,0.0,0.0,0.3409512700714374,0.0,0.0
MB-5029,0.4887429686457653,0.29892977569256707,0.2123272556616672,0.0,0.0,0.0,0.0,0.0
MB-7390,0.1449592273687071,0.241566061192182,0.0,0.1466032234122207,0.0,0.3841462647503939,0.0827252232764961,0.0
MB-1599,0.9351075415978863,0.0,0.0,0.0,0.0,0.0648924584021137,0.0,0.0
MB-8390,0.3835581141121953,0.0,0.0,0.0,0.6164418858878048,0.0,0.0,0.0
MB-3303,0.36723555684097703,0.0,0.0,0.3248045981185878,0.0808661336764162,0.227093711364019,0.0,0.0
MB-9929,0.5098487260573228,0.0996629634330668,0.0,0.0,0.0,0.3904883105096102,0.0,0.0
MB-2963,0.0700047823081049,0.3952021656613673,0.3251213474336801,0.0,0.0,0.0,0.2096717045968474,0.0
MB-6544,0.3874871857517009,0.1649637216590791,0.3791492315395842,0.0,0.0683998610496357,0.0,0.0,0.0
MB-4073,0.0,0.7669764539006773,0.0,0.0,0.0,0.2330235460993227,0.0,0.0
MB-2333,0.0,0.1283479671229718,0.0,0.0,0.0,0.5208843038740212,0.3507677290030068,0.0
MB-2167,0.0,0.0,0.0013133281065678,0.0,0.0,0.9986866718934321,0.0,0.0
MB-7917,0.543617060908212,0.2879375228288482,0.0,0.0,0.0238781555078909,0.0493248808947489,0.0952423798602997,0.0
MB-8037,0.4057807085430626,0.0132690366102558,0.0,0.0,0.3432284378620517,0.2377218169846296,0.0,0.0
MB-4408,0.5329896865521028,0.0,0.0,0.1206763058166788,0.3463340076312183,0.0,0.0,0.0
MB-3320,0.2685163491018158,0.0086280557831677,0.2733651150890455,0.0,0.0,0.4319286721730333,0.0175618078529375,0.0
MB-8171,0.0,0.0,0.1132518339286701,0.0,0.3695147908316617,0.5172333752396682,0.0,0.0
MB-5822,0.0678685017198581,0.1281336387254562,0.0521202161453814,0.0390739435847945,0.1408099894186949,0.2656290322390206,0.0,0.3063646781667942
MB-3005,0.0,0.4322030776195763,0.0,0.0,0.1775921224523877,0.2005757907042001,0.1896290092238354,0.0
MB-7068,0.6809510288781266,0.3190489711218733,0.0,0.0,0.0,0.0,0.0,0.0
MB-5402,0.0,0.1708691251270319,0.0,0.0,0.8291308748729681,0.0,0.0,0.0
MB-1855,0.1114816877273468,0.5557588074378232,0.0089833593190879,0.0,0.0,0.3237761455157421,0.0,0.0
MB-6956,0.1447039151879532,0.25661920945429006,0.3099133198265705,0.0,0.0,0.0,0.28876355553118593,0.0
MB-5771,0.0,0.6209360901335221,0.0,0.0,0.0,0.0,0.0,0.3790639098664777
MB-5482,0.6712212427005768,0.0720596564556752,0.0391204815588428,0.0,0.0,0.0,0.217598619284905,0.0
MB-8991,0.3878554416015852,0.3615680086755238,0.0690241140533178,0.0,0.0,0.140020986606465,0.0,0.0415314490631078
MB-7380,0.0,0.7309283252207238,0.2477728267798092,0.0,0.0212988479994669,0.0,0.0,0.0
MB-4130,0.3924577665114293,0.0,0.0,0.0,0.0,0.6075422334885706,0.0,0.0
MB-8612,0.8840171226753603,0.0,0.0,0.0,0.0,0.1159828773246396,0.0,0.0
MB-4393,0.0558454482096561,0.6779680091091478,0.0,0.1252577953310068,0.0,0.1409287473501891,0.0,0.0
MB-9696,0.2350130174553656,0.0,0.1872820312533024,0.0,0.0,0.44104804591728797,0.1366569053740439,0.0
MB-8895,0.3303006655201919,0.1613709913399419,0.0,0.0,0.0,0.3524378923070193,0.0,0.1558904508328468
MB-9121,0.5346466271473858,0.3294247312020849,0.0,0.0,0.0,0.135928641650529,0.0,0.0
MB-4960,0.5531251851834585,0.44687481481654134,0.0,0.0,0.0,0.0,0.0,0.0
MB-7067,0.0,0.0,0.0,0.0,0.0229969518362236,0.5149372310067986,0.3099508171216134,0.1521150000353644
MB-1545,0.1274088420534638,0.0,0.1124234077600964,0.0,0.0,0.4515311918870875,0.3086365582993521,0.0
MB-4114,0.0,0.8833682577050292,0.0,0.0,0.0,0.1166317422949707,0.0,0.0
MB-6243,0.4876856665763616,0.0,0.0,0.1587368201630878,0.0,0.0,0.3535775132605506,0.0
MB-1845,0.5159255373157118,0.1215823831779861,0.3624920795063019,0.0,0.0,0.0,0.0,0.0
MB-3454,0.0,0.255426201976013,0.0,0.0,0.0,0.2266422232626658,0.5179315747613211,0.0
MB-5981,0.16750158916701,0.5572108562906762,0.0,0.0,0.0,0.1516202571488049,0.1236672973935087,0.0
MB-8360,0.0,0.4402321559954861,0.0,0.0,0.0,0.5597678440045138,0.0,0.0
MB-1100,0.4302281639930466,0.1623380773720111,0.2534802577741418,0.1131278355104902,0.0,0.0408256653503102,0.0,0.0
MB-2131,0.5604503409318499,0.26610714417741227,0.0,0.0,0.0,0.1734425148907375,0.0,0.0
MB-6347,0.416093581676581,0.1122267131445703,0.15751791325453351,0.2009226008452939,0.0,0.0,0.0,0.113239191079021
MB-9895,0.4060240232792284,0.2758238846527835,0.0,0.0,0.0,0.23706478332743638,0.0810873087405514,0.0
MB-7746,0.3517478893857105,0.3416140576284606,0.0,0.0,0.1530974466632279,0.0,0.1355423882888275,0.0179982180337732
MB-5123,0.0,0.0,0.0,0.0,0.0,0.1291463779261839,0.870853622073816,0.0
MB-3950,0.0769447358007514,0.3241298480603711,0.0,0.0,0.1566738793523312,0.3887295600847308,0.0535219767018152,0.0
MB-6760,0.4402244435438808,0.0,0.0545163638463632,0.0,0.5052591926097559,0.0,0.0,0.0
MB-3465,0.0596634757318456,0.1585879683112561,0.1854847619498484,0.0,0.1642417581456035,0.1490986762347968,0.2829233596266496,0.0
MB-7047,0.45383247558922746,0.069091186844913,0.0,0.0,0.0,0.2334509688427933,0.0374326021364143,0.2061927665866517
MB-1531,0.1690809090939233,0.0313458400124073,0.2487165281833653,0.0,0.0,0.5508567227103041,0.0,0.0
MB-1776,0.3906372079864878,0.3107166255486378,0.0,0.0,0.0,0.2986461664648743,0.0,0.0
MB-4397,0.3094812968495407,0.2725527024856967,0.0,0.0,0.0,0.4179660006647627,0.0,0.0
MB-3419,0.10991161288000159,0.31319508431215076,0.0,0.0,0.0,0.2857311879092798,0.2911621148985675,0.0
MB-2394,0.2668181491248817,0.0,0.0,0.0,0.0,0.7331818508751182,0.0,0.0
MB-9360,0.24037594613347,0.0,0.0,0.75962405386653,0.0,0.0,0.0,0.0
MB-9468,0.25000311984789647,0.1189757536978027,0.3009021932411687,0.0,0.0135219259663683,0.25085051590198026,0.0657464913447832,0.0
MB-7247,0.5003735751956492,0.2927030998336754,0.0,0.0,0.1125491077494285,0.0,0.0943742172212467,0.0
MB-4055,0.2181641119120824,0.0,0.7818358880879176,0.0,0.0,0.0,0.0,0.0
MB-7161,0.1650847896471239,0.3417859725471788,0.0,0.0,0.0,0.4931292378056973,0.0,0.0
MB-3919,0.2507450516539586,0.19585776509984,0.1846254023199138,0.0,0.3003110599550411,0.068460720971246,0.0,0.0
MB-9942,0.31521326685105877,0.3788716885601263,0.2233067533210739,0.0,0.0,0.0826082912677409,0.0,0.0
MB-1468,0.0,0.6409828379113902,0.0,0.0,0.0,0.254504652184486,0.1045125099041236,0.0
MB-3824,0.0,0.0,0.4366943231044066,0.0,0.5633056768955934,0.0,0.0,0.0
MB-4659,0.1161632000065041,0.1771894363839722,0.2320797395776291,0.0,0.0008199744775002,0.0113517956513848,0.4623958539030094,0.0
MB-1123,0.0,0.4632037269739607,0.0,0.0,0.0,0.0,0.2641797040237324,0.2726165690023067
MB-6538,0.2363978727526563,0.2445204593169615,0.0,0.0,0.080415916826338,0.2142288944264587,0.2244368566775853,0.0
MB-3550,0.1108496580812206,0.2947942770569807,0.3624817789662741,0.0,0.0,0.1939458262739382,0.0379284596215861,0.0
MB-3558,0.42632428290040136,0.1583243651260364,0.0,0.0,0.1633870957553924,0.0,0.2519642562181696,0.0
MB-9112,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MB-4633,0.2510672688034223,0.3045483068100175,0.0,0.0,0.0391495679928913,0.2183365012513409,0.1868983551423278,0.0
MB-4934,0.33198217141211717,0.0,0.0,0.0,0.0,0.5286354980703714,0.1393823305175112,0.0
MB-1150,0.1677829871447076,0.1913434500162717,0.0333144160699993,0.1761361098921841,0.1358973398290679,0.179039330249854,0.0307544973268566,0.0857318694710583
MB-1138,0.0,0.0,0.0,0.0,0.9828583321698184,0.0171416678301815,0.0,0.0
MB-5787,0.0938640122915944,0.3053607263740878,0.0,0.0,0.4480689589925892,0.1527063023417284,0.0,0.0
MB-6295,0.4502715717638764,0.1886130557324083,0.0,0.0,0.0,0.0,0.3611153725037153,0.0
MB-3452,0.2971098897152029,0.1903752062643425,0.2234732437448817,0.0,0.1307500425784576,0.1582916176971147,0.0,0.0
MB-1989,0.5556659234928585,0.0896039740623721,0.0189198880027681,0.1588874555562291,0.0,0.0,0.176922758885772,0.0
MB-9567,0.4475067395159861,0.0,0.0,0.2239468196656451,0.3285464408183686,0.0,0.0,0.0
MB-2556,0.1356011623477221,0.3648051671556087,0.0,0.4995936704966692,0.0,0.0,0.0,0.0
MB-7078,0.0,0.1032183641324825,0.0,0.0,0.0,0.4357681842358075,0.46101345163171,0.0
MB-6594,0.6278789696741853,0.0,0.0,0.047919521026175,0.0,0.1575558817951861,0.0,0.1666456275044532
MB-6134,0.0,0.0,0.8817198130094797,0.0,0.1182801869905204,0.0,0.0,0.0
MB-4256,0.0,0.0939153425209567,0.0,0.142941161288336,0.3761613773412279,0.3869821188494794,0.0,0.0
MB-2708,0.0466738609540098,0.0,0.0,0.0,0.0,0.4526896917518894,0.5006364472941007,0.0
MB-6468,0.1077068016279334,0.0,0.0,0.0,0.0,0.0,0.8922931983720666,0.0
MB-3743,0.206189861816522,0.4944951137552139,0.0,0.0,0.0,0.2993150244282637,0.0,0.0
MB-4868,0.2882564252273921,0.345216587008533,0.1348740649913255,0.087878111926478,0.1437748108462711,0.0,0.0,0.0
MB-1902,0.3347966734432789,0.2413518302793628,0.0,0.0,0.0,0.1660224132159747,0.2578290830613831,0.0
MB-3747,0.32320623899313017,0.3064363600853031,0.0,0.0,0.0,0.3703574009215666,0.0,0.0
MB-7292,0.0,0.0,0.3209191089026749,0.0,0.0,0.6790808910973251,0.0,0.0
MB-7529,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-5749,0.4081235511835277,0.0,0.0,0.0,0.2216023752348469,0.0442172223814875,0.1193955916764855,0.2066612595236523
MB-7385,0.762456971860478,0.0,0.2375430281395219,0.0,0.0,0.0,0.0,0.0
MB-1323,0.2215623806230742,0.2943081125573405,0.0,0.0,0.2368888427829042,0.2472406640366811,0.0,0.0
MB-6028,0.2762685739370947,0.0,0.0,0.0,0.0,0.5313172403311539,0.1924141857317512,0.0
MB-8402,0.0,0.0,0.0,0.1016765693340787,0.2512698576137162,0.5550789580906825,0.0,0.0919746149615225
